5	SHEET METAL CONNECTORS	5850 MAIN STREET NE		MINNEAPOLIS,	MN	55432	763 572 0000	763 572 1100	1233-ABC YES					THESE ARE MY SHIPPING NOTES NEW NOTES	
10	MISCELLANEOUS CASH ACCT.	SHEET METAL CONNECTORS	5850 MAIN STREET N.E.	MINNEAPOLIS,	MN	55432	0 0000	0 0000							
100	A.B.E. ENVIRONMENTAL SYS	806 EAST 4TH STREET		DULUTH	MN	55805	218 727 1767	218 727 7408							
200	A/C CONTRACTORS	1495 KEO WAY	PO 1404	DES MOINES	IA	50305	515 244 0606	515 244 0735	                                     C.M.	Dave			** PREPAID ** orders per Kurt jah 11/18/04	Dave 8/10/04 If driver does't HELP he       doesn't want our STUFF ??                   ** PREPAID **	
250	ACI MECHANICAL, INC.	3116 SOUTH DUFF	PO BOX 192	AMES	IA	50010-0192	515 232 1236	515 232 0136	KAREN SERVER                            CM	ROGER HAMBLIN	JOE	  **** RANGLE 20' SMALL HOLES ONLY ****	*** ROUND TAB DRIVES ARE NON-STOCK ***1/04  DIE SET-UP CHARGES WILL NOW APPLY ROUND TAB DRIVES A CHARGE OF:                         $50.00 PER ORDER FOR SET-UP (SEE SM 1/04)	SHIP PPD & ADD !!! 10/04 SM	
300	A & E PLUMBING & HEATING	1106 WEST 36TH AVENUE		ALEXANDRIA	MN	56308	320 763 6673	320 763 6674	ARLYN	BARB			5/8"X 6 1/4" 3-WAY 10'LONG = $1.00/FT		
500	A M A HEATING & AIR COND.	710 LOMBARDI AVENUE		GREEN BAY,	WI	54304	920 494 5952	920 494 1469	DALE BESSON	KEN DAVISTER	JOE STRAND	DAN KAPLA			
550	API	1100 OLD HIGHWAY 8 NW		SAINT PAUL	MN	55112-6447	651 636 4320	651 636 0312	TIM RIPPIE			ANNIE EINBERGER			
700	ABEL ONSITE	P.O. BOX 97		ST. BONIFACIUS	MN	55375	952 446 9545	952 446 9408	                                         BIL			FORMERLY B & C HTG.	CALL LOUIE TO CONFIRM FAX 1/01 JS		
900	ACCURATE MECHANICAL	4330 NE 14TH STREET	P.O. BOX 3267	DES MOINES	IA	50316	515 266 3117	515 266 1427	new buyer Walt Mills  9/22/99				7/2006 - SEE DIANNA OR JESSIE B/4 QUOTING ORENTERING AN ORDER.		
1000	ACE SUPPLY COMPANY INC.	3825 EDGEWOOD AVENUE SO		MPLS	MN	55426	952 929 1618	952 929 9716	BRUCE HASSELBRING	BRENT HASSELBRING	GREG VOGEL				
1150	ACTION MECHANICAL INC	1856 LOMBARDY DRIVE	PO BOX 880	RAPID CITY	SD	57709	605 348 5212	605 348 6984	Nate (est)						
1200	ACTIVE HEATING INC.	115 NORTH MAPLE		WATERTOWN,	SD	57201	605 882 2663	605 882 3325							
1300	ADVANCE SYSTEMS INC / DIV	OF THERMAL TECHNOLOGIES	PO BOX 9428	GREEN BAY	WI	54308-9428	920 468 5477	920 468 0931	LEE ESTES	TOM ESTES			MUST HAVE PO# 9/98 JM		
1550	ADVANCED MECHANICAL INC.	1415 AIRPORT		BISMARCK,	ND	58504	701 222 0352	701 223 8752	BRIANB@ADVANCED-MECHANICAL.COM				Bought a coil line,no duct quotes GK/LM 7/05	Use Lewis Trk per Clarence Roller 4/03 jah	
1700	AERO-FAB INC	600 31ST STREET	PO BOX 3088	HUNTINGTON	WV	25702	304 529 0322	304 529 0326	LEE  ESTES                                JH	TOM ESTES			zip code is o.k  11/02 sm		
1750	AERO SHEET METAL INC.	23773 AERO ROAD		RAPID CITY,	SD	57701	605 342 0704	605 342 0705	LEE  ESTES                                JH	TOM ESTES					
1900	AHRENS HEATING & MFG CO	1227 SO BROADWAY	PO BOX 276	NEW ULM	MN	56073-0276	507 354 2217	507 359 1551	BRUCE HEUCHERT				ZIP CODE IS O.K. SM	All orders D & A COLLECT!! jmr	
2000	AIR-CON MECHANICAL CORP.	3121 S.E. 14TH STREET		DES MOINES,	IA	50320	515 243 5500	515 243 0126	Mark Bauer (Shop Foreman)	DAVE BALDUCKI			MUST HAVE PO#  9/98 JM	Do NOT ship Midwest Motor  BK 6/08	
2050	AIR CON REF. & HTG. INC.	123 LAKE STREET		WAUKEGAN,	IL	60085	847 336 4128	847 336 4949	STAN SCARBOLUS                      JM				Ship pre-pay only	Ship pre-pay only	
2100	AIR CONDITIONING ASSOC	55 WEST IVY AVENUE		ST PAUL	MN	55117-4515	651 488 0291	651 488 8883	JIM PACKER OWNER PARTNER	TIM PACKER EST	BARRY NELSON EST	PAUL KAMPA   S/M SUPER.	JIM HARVEY EST.	bill driver 651-210-8830	
2200	AIR CONTROL CO. INC.	2115 2ND AVENUE NORTH		BILLINGS,	MT	59101	406 245 6416	406 245 3479							
2250	AIR CONTROL HEATING INC	3022 27TH AVENUE NORTH		GRAND FORKS	ND	58203	701 775 4258	701 775 4259					all orders ppd and add	all orders ppd and add	
2300	AIR CONTROL PRODUCTS INC	3800 TOWPATH ROAD		CLEVELAND	OH	44147-3296	440 526 3020	440 526 0503	Phil Westrick toledo office 419-380-8990  gk						
2400	AIR CORPS, LLC	2230 TERMINAL ROAD		ROSEVILLE	MN	55113	651 789 5400	651 789 5431	MAGGY KOTTMAN PRES. CEO		MARK KRANZ EST./PM 763.231.2727	PAUL YORK EST./PM 763.231.2729	RODGER SCHLAG (CELL 612.366.7870)            ALUM. SHEETS $3.00/#. 9/06  JTH	mark (driver) 612-366-1162                  JOE 612-282-0724JEFF DRIVER                 (612.366.1162)john driver 612-366-2023	
2500	AIR DUCT INC.	4434 SOUTH JACKSON		TULSA,	OK	74107	918 445 1196	918 445 2829						SHIP DUGAN JAH 2/99	
2650	AIR ENTERPRISES LLC	735 GLASER PARKWAY		AKRON	OH	44306-4166	330 794 9770	330 794 8841							
2700	AIR EQUIPMENT SALES INC	1035 LINCOLN ROAD #101B	PO BOX 802	BETTENDORF	IA	52722-0014	563 359 0333	563 359 0334	DAVE DEASY                             SM	JON FLOWER			Zip Code is o.k. 1/03 sm		
