101.093	GALV 10GA X 1.093" X COIL	
102.750	GALV 10GA X 2.750" X COIL	
1020	1-5/8" STDG S SLIP 20GA   100'	
1022	1-5/8" STDG S SLIP 22GA   100'	
102228	1 1/2" OPEN LEG 22GA CTL   28"	
102230	1 1/2" OPEN LEG 22GA CTL   30"	
102232	1 1/2" OPEN LEG 22GA CTL   32"	
102234	1 1/2" OPEN LEG 22GA CTL   34"	
102236	1 1/2" OPEN LEG 22GA CTL   36"	
102238	1 1/2" OPEN LEG 22GA CTL   38"	
102240	1 1/2" OPEN LEG 22GA CTL   40"	
102242	1 1/2" OPEN LEG 22GA CTL   42"	
102244	1 1/2" OPEN LEG 22GA CTL   44"	
102246	1 1/2" OPEN LEG 22GA CTL   46"	
102248	1 1/2" OPEN LEG 22GA CTL   48"	
102250	1 1/2" OPEN LEG 22GA CTL   50"	
102252	1 1/2" OPEN LEG 22GA CTL   52"	
102254	1 1/2" OPEN LEG 22GA CTL   54"	
102256	1 1/2" OPEN LEG 22GA CTL   56"	
102260	1 1/2" OPEN LEG 22GA CTL   60"	
102262	1 1/2" OPEN LEG 22GA CTL   62"	
102264	1 1/2" OPEN LEG 22GA CTL   64"	
102266	1 1/2" OPEN LEG 22GA CTL   66"	
102268	1 1/2" OPEN LEG 22GA CTL   68"	
102272	1 1/2" OPEN LEG 22GA CTL   72"	
1024	1-5/8" STDG S SLIP 24GA   100'	
103.250	GALV 10GA X 3.250" X COIL	
103.500	GALV 10GA X 3.500" X COIL	
103.750	GALV 10GA X 3.750" X COIL	
104.125	GALV 10GA X 4.125" X COIL	
10AL	1-5/8"STDG S SLIP.032 10' ALUM	
10PG	24G PAINT GRIP 1.5" STD"S" 10'	
10PVS	24GA 1.5" STD."S" CONN 10' PVS	
10SS	1-5/8"304 SS OPN LG S .018 10'	
1120	2-1/8" STDG S SLIP 20GA   100'	
122	1" STDG DRIVE 22GA        100'	
12222	22" 22GA STDG DRIVE 50 PCS/CTN	
12224	24" 22GA STDG DRIVE 50 PCS/CTN	
12226	26" 22GA STDG DRIVE 50 PCS/CTN	
12228	28" 22GA STDG DRIVE 50 PCS/CTN	
12230	30" 22GA STDG DRIVE 50 PCS/CTN	
122321	1" STANDING DRIVE 22GA CTL 32"	
122361	1" STANDING DRIVE 22GA CTL 36"	
122381	1" STANDING DRIVE 22GA CTL 38"	
122401	1" STANDING DRIVE 22GA CTL 40"	
122421	1" STANDING DRIVE 22GA CTL 42"	
122441	1" STANDING DRIVE 22GA CTL 44"	
122461	1" STANDING DRIVE 22GA CTL 46"	
122481	1" STANDING DRIVE 22GA CTL 48"	
1226	1/2" STDG S SLIP 26GA     100'	
1226	1/2" STDG S SLIP 26GA     100'	
122614	1/2" STDG "S" 26GA 14" 100/CTN	
122616	1/2" STDG "S" 26GA 16" 100/CTN	
122618	1/2" STDG "S" 26GA 18" 100/CTN	
122620	1/2" STDG "S" 26GA 20" 100/CTN	
122621	1/2" STDG "S" 26GA 21" 100/CTN	
122622	1/2" STDG "S" 26GA 22" 100/CTN	
122624	1/2" STDG "S" 26GA 24" 100/CTN	
122626	1/2" STDG "S" 26GA 26" 100/CTN	
124	1" STDG DRIVE 24GA        100'	
12418	18" 24GA STDG DRIVE 50 PCS/CTN	
12420	20" 24GA STDG DRIVE 50 PCS/CTN	
124201	1" STANDING DRIVE 24GA CTL 20"	
124211	1" STANDING DRIVE 24GA CTL 21"	
12422	22" 24GA STDG DRIVE 50 PCS/CTN	
124221	1" STANDING DRIVE 24GA CTL 22"	
124231	1" STANDING DRIVE 24GA CTL 23"	
12424	24" 24GA STDG DRIVE 50 PCS/CTN	
124241	1" STANDING DRIVE 24GA CTL 24"	
12426	26" 24GA STDG DRIVE 50 PCS/CTN	
124261	1" STANDING DRIVE 24GA CTL 26"	
12428	28" 24GA STDG DRIVE 50 PCS/CTN	
124281	1" STANDING DRIVE 24GA CTL 28"	
12430	30" 24GA STDG DRIVE 50 PCS/CTN	
124301	1" STANDING DRIVE 24GA CTL 30"	
12432	32" 24GA STDG DRIVE 50 PCS/CTN	
12434	34" 24GA STDG DRIVE 50 PCS/CTN	
12436	36" 24GA STDG DRIVE 50 PCS/CTN	
12438	38" 24GA STDG DRIVE 50 PCS/CTN	
1326	5/8" START COLLAR 26GA    100'	
135.906	GALV 13GA X 5.906" X COIL	
142.875	GALV 14GA X 2.875" X COIL	
1424	1" START COLLAR 24GA      100'	
145.906	GALV 14GA X 5.906" X COIL	
161.000	GALV 16GA X 1.000" X COIL	
162.812	GALV 16GA X 2.812" X COIL	
163.437	GALV 16GA X 3.437" X COIL	
1648.000	GALV 16GA X 48.000" X COIL	
165.625	GALV 16GA X 5.625" X COIL	
165.906	GAVL 16GA X 5.906" X COIL	
1660.000	GALV 16GA X 60.000" X COIL	
181.000	GALV 18GA X 1.000" X COIL	
185.500	GALV 18GA X 5.500" X COIL	
1860.000	GALV 18GA X 60.000" X COIL	
1872.000	GALV 18GA X 72.000" X COIL	
1AL	1" STANDING DRIVE.032 10' ALUM	
1CD	1" REINFORCING CONDUIT 10'	
1PG	24GA PAINT GRIP STD DRIVE  10'	
1PVS	24GA STD. DRIVE CONN.  10' PVS	
1SS	1" 304 SS STDG DRIVE .018  10'	
202.125	GALV 20GA X 2.125" X COIL	
2048.000	GALV 20GA X 48.000" X COIL	
205.394	GALV 20GA X 5.394" X COIL	
206.187	GALV 20GA X 6.187" X COIL	
206.750	GALV 20GA X 6.750" X COIL	
2060.000	GALV 20GA X 60.000" X COIL	
2072.000	GALV 20GA X 72.000" X COIL	
222.125	GALV 22GA X 2.125" X COIL	
223.625	GALV 22GA X 3.625" X COIL	
224.032	GALV 22GA X 4.032" X COIL	
224.437	GALV 22GA X 4.437" X COIL	
2248.000	GALV 22GA X 48.000" X COIL	
225.394	GALV 22GA X 5.394" X COIL	
225.750	GALV 22GA X 5.750" X COIL	
226	2" TURN VANE 26GA         100'	
226.187	GALV 22GA X 6.187" X COIL	
226.719	GALV 22GA X 6.719" X COIL	
226.969	GALV 22GA X 6.969" X COIL	
